Cenário,Tamanho,Algoritmo,Tempo Médio (ms),Desvio Tempo (ms),Comparações Médias,Desvio Comparações
Médio,1000,Sequencial,0.0287,0.0169,542.32,282.23
Médio,10000,Sequencial,0.3837,0.2753,5089.92,2682.79
Médio,100000,Sequencial,3.1860,2.2775,46143.28,25990.47
Pior,1000,Sequencial,0.0550,0.0026,1000.00,0.00
Pior,10000,Sequencial,0.6310,0.1545,10000.00,0.00
Pior,100000,Sequencial,6.2355,0.7665,100000.00,0.00
Médio,1000,Binária,0.0021,0.0004,9.14,1.18
Médio,10000,Binária,0.0039,0.0011,12.36,1.41
Médio,100000,Binária,0.0054,0.0012,15.84,1.72
Pior,1000,Binária,0.0020,0.0002,10.00,0.00
Pior,10000,Binária,0.0035,0.0007,14.00,0.00
Pior,100000,Binária,0.0055,0.0009,17.00,0.00
